age,salary,gender,city
56,146748.0,Female,Phoenix
46,35287.0,Male,Los Angeles
32,64387.0,Female,Houston
60,38512.0,Male,Los Angeles
25,31342.0,Male,Houston
38,93076.0,Female,Houston
56,138872.0,Male,Los Angeles
36,49216.0,Female,Chicago
40,147512.0,Female,New York
28,146682.0,Female,Phoenix
28,,Female,Houston
41,109767.0,Female,Phoenix
53,127829.0,Male,Los Angeles
57,56614.0,Male,Phoenix
41,66258.0,Female,Los Angeles
20,123789.0,Female,Phoenix
39,72078.0,Male,New York
19,136288.0,Male,New York
41,113524.0,Male,New York
61,126573.0,Male,New York
47,42219.0,Female,New York
55,30235.0,Female,New York
19,72929.0,Male,Los Angeles
38,,Female,Houston
50,38567.0,Male,Phoenix
29,131834.0,Female,New York
39,100792.0,Male,Los Angeles
61,95441.0,Female,Los Angeles
42,114555.0,Male,Los Angeles
44,103698.0,Male,Houston
59,147248.0,Female,Phoenix
45,35415.0,Male,Houston
33,66159.0,Female,Chicago
32,73925.0,Female,Los Angeles
64,35951.0,Male,Chicago
61,117388.0,Female,New York
20,38007.0,Female,New York
54,71832.0,Female,Houston
24,88596.0,Female,Phoenix
38,60523.0,Female,Chicago
26,118861.0,Male,Phoenix
56,116740.0,Female,Houston
35,45524.0,Female,New York
21,49282.0,Female,Phoenix
42,53930.0,Female,Phoenix
31,30077.0,Female,New York
26,135881.0,Male,Chicago
43,50611.0,Female,New York
19,46984.0,Male,Phoenix
37,44060.0,Male,Chicago
45,112985.0,Male,Chicago
64,114056.0,Male,New York
24,73303.0,Female,Phoenix
61,89207.0,Male,Houston
25,105046.0,Male,Phoenix
64,59287.0,Female,Los Angeles
52,123709.0,Female,Houston
31,69711.0,Female,Chicago
34,41954.0,Male,Houston
53,103340.0,Female,Chicago
57,102101.0,Female,Chicago
21,101520.0,Male,Houston
19,117062.0,Female,Chicago
23,132974.0,Female,Chicago
59,48574.0,Female,Los Angeles
21,39184.0,Female,Phoenix
46,49096.0,Male,Phoenix
35,97728.0,Female,Los Angeles
43,64016.0,Female,Houston
61,41246.0,Male,New York
51,75558.0,Female,New York
27,,Male,New York
53,48381.0,Female,Los Angeles
31,66455.0,Male,Los Angeles
48,122263.0,Male,Chicago
32,34018.0,Male,New York
25,41302.0,Male,Houston
31,97506.0,Female,Houston
40,71157.0,Male,New York
57,84917.0,Female,New York
38,122738.0,Male,New York
33,126646.0,Male,Los Angeles
62,113122.0,Male,Los Angeles
35,54519.0,Female,Los Angeles
64,126809.0,Male,Phoenix
41,117487.0,Female,Houston
43,,Female,Houston
42,110910.0,Female,Chicago
